Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1.0,17.0,5.0,171.0,1.0,1.0,122.0,1.0,19.0,12.0,5.0,9.0,127.3,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0
1.0,15.0,1.0,9254.0,1.0,1.0,160.0,1.0,1.0,3.0,3.0,3.0,142.5,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,14.0,0.0,0.0,6.0,6.0,6.0,13.666666666666666,0.0,13.9,-0.3,0.79,1
1.0,1.0,5.0,9070.0,1.0,1.0,122.0,1.0,37.0,37.0,9.0,9.0,124.8,1.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,10.8,1.4,1.74,0
1.0,17.0,2.0,9773.0,1.0,1.0,122.0,1.0,38.0,37.0,5.0,3.0,119.6,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,8.0,6.0,13.428571428571429,0.0,0.0,6.0,10.0,5.0,12.4,0.0,9.4,-0.8,-3.12,1
2.0,39.0,1.0,8014.0,0.0,1.0,100.0,1.0,37.0,38.0,9.0,9.0,141.5,0.0,0.0,0.0,1.0,0.0,0.0,45.0,0.0,0.0,6.0,9.0,5.0,12.333333333333334,0.0,0.0,6.0,6.0,6.0,13.0,0.0,13.9,-0.3,0.79,1
2.0,39.0,1.0,9991.0,0.0,19.0,133.1,1.0,37.0,37.0,9.0,7.0,114.8,0.0,0.0,1.0,1.0,1.0,0.0,50.0,0.0,0.0,5.0,10.0,5.0,11.857142857142858,0.0,0.0,5.0,17.0,5.0,11.5,5.0,16.2,0.3,-0.92,1
1.0,1.0,1.0,9500.0,1.0,1.0,142.0,1.0,19.0,38.0,7.0,10.0,128.4,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,9.0,7.0,13.3,0.0,0.0,8.0,8.0,8.0,14.345,0.0,15.5,2.8,-4.06,1
1.0,18.0,4.0,9254.0,1.0,1.0,119.0,1.0,37.0,37.0,9.0,9.0,113.1,1.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,15.5,2.8,-4.06,0
1.0,1.0,3.0,9238.0,1.0,1.0,137.0,62.0,1.0,1.0,9.0,9.0,129.3,0.0,0.0,0.0,1.0,0.0,1.0,21.0,1.0,0.0,6.0,8.0,6.0,13.875,0.0,0.0,6.0,7.0,6.0,14.142857142857142,0.0,16.2,0.3,-0.92,1
1.0,1.0,1.0,9238.0,1.0,1.0,138.0,1.0,1.0,19.0,4.0,7.0,123.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,6.0,9.0,5.0,11.4,0.0,0.0,6.0,14.0,2.0,13.5,0.0,8.9,1.4,3.51,0
